scenario,year,added_water_m,water_level_egm2008_m,uniform_dem_offset_m,baseline_area_km2,continued_trend_area_km2,subsidence_added_area_km2
SSP2-4.5,2050,0.0,1.138469235,-1.0,711.4202882292678,789.1414411304895,77.72115290122176
SSP2-4.5,2050,1.5,2.638469235,-1.0,1032.025614431138,1057.5336740839998,25.508059652862013
SSP2-4.5,2050,3.0,4.1384692350000005,-1.0,1228.565774280969,1242.503598716091,13.937824435121868
SSP2-4.5,2100,0.0,1.515469235,-1.0,807.8328032890095,934.0403456484357,126.20754235942618
SSP2-4.5,2100,1.5,3.0154692350000003,-1.0,1088.1840259935184,1137.3627669510047,49.17874095748594
SSP2-4.5,2100,3.0,4.515469235,-1.0,1274.1991066642865,1308.6477024338908,34.44859576960417
SSP5-8.5,2050,0.0,1.167469235,-1.0,718.8158723356057,796.7129811499816,77.89710881437594
SSP5-8.5,2050,1.5,2.667469235,-1.0,1037.6372344686301,1061.4248490689229,23.78761460029284
SSP5-8.5,2050,3.0,4.167469235,-1.0,1233.1687345547962,1246.2023403066287,13.033605751832607
SSP5-8.5,2100,0.0,1.732469235,-1.0,862.1347165787724,963.6322177245838,101.49750114581131
SSP5-8.5,2100,1.5,3.232469235,-1.0,1114.675992692281,1160.6084025461882,45.93240985390734
SSP5-8.5,2100,3.0,4.732469235,-1.0,1299.7508111451816,1334.5748694209278,34.824058275746154
SSP2-4.5,2050,0.0,1.138469235,-0.5,543.5229747668598,663.7614255414613,120.2384507746016
SSP2-4.5,2050,1.5,2.638469235,-0.5,946.118649135339,977.0662361787117,30.947587043372838
SSP2-4.5,2050,3.0,4.1384692350000005,-0.5,1167.9322986650122,1183.2243983457154,15.292099680703236
SSP2-4.5,2100,0.0,1.515469235,-0.5,657.343110435515,845.5872256732038,188.2441152376889
SSP2-4.5,2100,1.5,3.0154692350000003,-0.5,1012.753787329356,1073.7814145372972,61.02762720794117
SSP2-4.5,2100,3.0,4.515469235,-0.5,1213.6626636136475,1251.6226252573033,37.9599616436556
SSP5-8.5,2050,0.0,1.167469235,-0.5,554.6946467159473,670.0479602914165,115.35331357546912
SSP5-8.5,2050,1.5,2.667469235,-0.5,950.8949074243033,981.4203694415766,30.52546201727337
SSP5-8.5,2050,3.0,4.167469235,-0.5,1171.3233625332875,1186.58923193079,15.265869397502456
SSP5-8.5,2100,0.0,1.732469235,-0.5,735.4936422330638,884.9706056008542,149.4769633677904
SSP5-8.5,2100,1.5,3.232469235,-0.5,1047.1379428522837,1103.7153919394382,56.577449087154406
SSP5-8.5,2100,3.0,4.732469235,-0.5,1240.1657630282125,1276.6894062287067,36.52364320049432
SSP2-4.5,2050,0.0,1.138469235,0.0,369.82515596294854,499.91692596425605,130.09177000130745
SSP2-4.5,2050,1.5,2.638469235,0.0,843.2953677656819,895.7423155176998,52.44694775201782
SSP2-4.5,2050,3.0,4.1384692350000005,0.0,1103.265276090333,1121.31826129748,18.05298520714713
SSP2-4.5,2100,0.0,1.515469235,0.0,482.84616171171615,751.1795104364871,268.33334872477116
SSP2-4.5,2100,1.5,3.0154692350000003,0.0,924.6175370930866,1002.3203872481819,77.7028501550952
SSP2-4.5,2100,3.0,4.515469235,0.0,1150.4114748268844,1193.661398492307,43.249923665422514
SSP5-8.5,2050,0.0,1.167469235,0.0,378.73580209261775,513.0512326824551,134.31543058983726
SSP5-8.5,2050,1.5,2.667469235,0.0,849.0512091043813,900.5971923291366,51.54598322475553
SSP5-8.5,2050,3.0,4.167469235,0.0,1106.7700244026282,1124.8295997989226,18.059575396294314
SSP5-8.5,2100,0.0,1.732469235,0.0,574.3511911693956,795.2095415732177,220.8583504038222
SSP5-8.5,2100,1.5,3.232469235,0.0,967.0117175258881,1036.1833854057436,69.17166787985529
SSP5-8.5,2100,3.0,4.732469235,0.0,1179.189092485069,1221.2161440067734,42.02705152170424
SSP2-4.5,2050,0.0,1.138469235,0.5,196.2382287997065,377.5155238762743,181.27729507656775
SSP2-4.5,2050,1.5,2.638469235,0.5,711.4202882292678,789.1414411304895,77.72115290122176
SSP2-4.5,2050,3.0,4.1384692350000005,0.5,1032.025614431138,1057.5336740839998,25.508059652862013
SSP2-4.5,2100,0.0,1.515469235,0.5,330.3314192891224,636.8669217703389,306.53550248121655
SSP2-4.5,2100,1.5,3.0154692350000003,0.5,807.8328032890095,934.0403456484357,126.20754235942618
SSP2-4.5,2100,3.0,4.515469235,0.5,1088.1840259935184,1137.3627669510047,49.17874095748594
SSP5-8.5,2050,0.0,1.167469235,0.5,206.63180281625597,382.60631140220613,175.97450858595013
SSP5-8.5,2050,1.5,2.667469235,0.5,718.8158723356057,796.7129811499816,77.89710881437594
SSP5-8.5,2050,3.0,4.167469235,0.5,1037.6372344686301,1061.4248490689229,23.78761460029284
