scenario,year,added_water_m,water_level_egm2008_m,baseline_connected_area_km2,continued_trend_connected_area_km2,difference_km2
SSP2-4.5,2100,0.0,1.515469235,482.84616171171615,751.1795104364871,268.333348724771
SSP2-4.5,2100,1.5,3.0154692350000003,924.6175370930866,1002.320387248182,77.70285015509535
SSP2-4.5,2100,3.0,4.515469235,1150.4114748268844,1193.661398492307,43.24992366542256
SSP5-8.5,2100,0.0,1.732469235,574.3511911693956,795.2095415732177,220.8583504038221
SSP5-8.5,2100,1.5,3.232469235,967.011717525888,1036.1833854057436,69.17166787985559
SSP5-8.5,2100,3.0,4.732469235,1179.189092485069,1221.2161440067734,42.02705152170438
