scenario,year,added_water_m,water_level_egm2008_m,baseline_connected_area_km2,continued_trend_connected_area_km2,difference_km2
SSP2-4.5,2050,0.0,1.138469235,369.8251559629485,499.91692596425605,130.09177000130757
SSP2-4.5,2050,1.5,2.638469235,843.2953677656819,895.7423155176998,52.44694775201788
SSP2-4.5,2050,3.0,4.1384692350000005,1103.265276090333,1121.31826129748,18.052985207147003
SSP5-8.5,2050,0.0,1.167469235,378.73580209261775,513.0512326824551,134.31543058983732
SSP5-8.5,2050,1.5,2.667469235,849.0512091043813,900.5971923291366,51.54598322475533
SSP5-8.5,2050,3.0,4.167469235,1106.7700244026282,1124.8295997989226,18.05957539629435
