output,component,source,content,transformation_or_limit
six-site historical comparison,summary metrics,Table_3_six_site_historical_context.csv,"six-site labels, coordinates, rates, correlation and RMSE intervals",aggregate disclosure for fixed benchmark-pixel pairs
six-site historical comparison,quality-control metadata,six_site_quality_control_metadata.json,"distance summary, temporal coverage and interpretation limits",observation-level levelling and InSAR series are not redistributed
2050 connected-inundation scenarios,maps and area summaries,Figure_08_Connected_inundation_2050_source_data.csv,water levels and connected areas,principal assessment horizon
2100 connected-inundation scenarios,maps and area summaries,Figure_09_Connected_inundation_2100_source_data.csv,water levels and connected areas,exploratory high-uncertainty extension
connected-inundation scenarios,map masks,user-generated common-domain GeoTIFFs,binary connected masks,large raster masks are not redistributed
2050 population-exposure example,locator context,GADM 4.1 boundaries,administrative context,provider terms apply
2050 population-exposure example,population grid,SSP5 2050 population,population density masked by connected inundation,source grid is not redistributed
