station,water_scenario_file,population_scenario,target_year,surge_m,area_weighted_exposed_population_million_added,area_weighted_exposed_population_million_base,area_weighted_exposed_population_million_ols,nearest_exposed_population_sensitivity_million_added,nearest_exposed_population_sensitivity_million_base,nearest_exposed_population_sensitivity_million_ols,area_weighted_added_closure_error_million
SHEK_PIK,SSP2m4p5,SSP2,2050,0.0,0.05918064703325302,0.6751867753348345,0.7343674216227414,0.05841073586463928,0.6062556840953827,0.664666419960022,-7.453461528528216e-10
SHEK_PIK,SSP2m4p5,SSP2,2050,1.0,0.03971136172485846,1.5410258816586924,1.5807372436608058,0.036947353920936586,1.4066317479867936,1.4435791019077302,2.772549898000243e-10
SHEK_PIK,SSP2m4p5,SSP2,2050,1.5,0.02982796946197713,1.99931061983723,2.0291385884593804,0.02700302795791626,1.8355983999729157,1.8626014279308318,-8.39826593684867e-10
SHEK_PIK,SSP2m4p5,SSP2,2050,2.0,0.020410165113847526,2.4322871006354423,2.4526972670784324,0.024675165550231935,2.208427672590256,2.233102838140488,1.329142570311026e-09
SHEK_PIK,SSP2m4p5,SSP2,2050,3.0,0.010369241883129003,3.365883815186026,3.3762530560715875,0.006768531799316406,3.105825414489746,3.1125939462890626,-9.975674331724749e-10
SHEK_PIK,SSP2m4p5,SSP2,2100,0.0,0.10173109247692627,0.6675334858791491,0.7692645782104164,0.09832404094409943,0.6092711626219749,0.7075952035660744,-1.4565895711804444e-10
SHEK_PIK,SSP2m4p5,SSP2,2100,1.0,0.055857787556265914,1.334307507462375,1.3901652956370185,0.059695542825698854,1.1728451877187491,1.2325407305444478,6.183776823931453e-10
SHEK_PIK,SSP2m4p5,SSP2,2100,1.5,0.0309810805349759,1.6656532596909952,1.6966343405902267,0.0345199872674942,1.4944141278957128,1.528934115163207,3.6425555974273216e-10
SHEK_PIK,SSP2m4p5,SSP2,2100,2.0,0.02216141499165256,1.9746663052487008,1.9968277201719404,0.017209341760635377,1.750445688205123,1.7676550299657583,-6.841291769199564e-11
SHEK_PIK,SSP2m4p5,SSP2,2100,3.0,0.013472516463407401,2.6584374505909385,2.6719099671918722,0.007971932529449463,2.4098286307314636,2.4178005632609127,1.3752633580554896e-10
SHEK_PIK,SSP5m8p5,SSP5,2050,0.0,0.06045967469448172,0.6862416584316972,0.7467013332320978,0.0647367235069275,0.6405026422533989,0.7052393657603264,1.0591887783517606e-10
SHEK_PIK,SSP5m8p5,SSP5,2050,1.0,0.039211841516188235,1.5481357036944987,1.5873475450855565,0.0338851520652771,1.4301670907032489,1.464052242768526,-1.251304129756825e-10
SHEK_PIK,SSP5m8p5,SSP5,2050,1.5,0.028586306985147733,1.9871748265201647,2.015761133446545,0.02358474195098877,1.84800840651536,1.8715931484663486,-5.876764352930053e-11
SHEK_PIK,SSP5m8p5,SSP5,2050,2.0,0.018855122308086475,2.428702241491082,2.44755736493213,0.01921035659408569,2.232319477006197,2.2515298336002827,1.1329614191257775e-09
SHEK_PIK,SSP5m8p5,SSP5,2050,3.0,0.010027401060617067,3.3259332070747076,3.3359606070352634,0.00555662826538086,3.1063707048990725,3.1119273331644535,-1.1000612729766823e-09
SHEK_PIK,SSP5m8p5,SSP5,2100,0.0,0.0661086624107658,0.7138777280411474,0.7799863900379721,0.06081163213539124,0.6734410715978145,0.7342527037332058,-4.1394104810521526e-10
SHEK_PIK,SSP5m8p5,SSP5,2100,1.0,0.03144379751478512,1.2725346287555488,1.3039784267654482,0.028825777666091918,1.1744595715866089,1.2032853492527007,4.951142620890359e-10
SHEK_PIK,SSP5m8p5,SSP5,2100,1.5,0.02238591027556626,1.5386715396417499,1.5610574495588994,0.022179478637695312,1.3924839293909073,1.4146634080286027,-3.5841675460890343e-10
SHEK_PIK,SSP5m8p5,SSP5,2100,2.0,0.016350026732322387,1.8070508438976591,1.8234008702082896,0.013139348832130433,1.639617925643921,1.6527572744760513,-4.2169195912933333e-10
SHEK_PIK,SSP5m8p5,SSP5,2100,3.0,0.010193466047448434,2.4065701340127954,2.4167636003652353,0.010841397071838378,2.183912773830414,2.194754170902252,3.0499146090601226e-10
