"station","water_scenario_file","population_scenario","target_year","surge_m","mask_type","mask_file","population_file","area_weighted_exposed_population","area_weighted_exposed_population_million","nearest_exposed_population_sensitivity","nearest_exposed_population_sensitivity_million","nearest_minus_area_weighted_population","fractional_population_cells"
"SHEK_PIK","SSP2m4p5","SSP2","2100","1.0","added","added_flood_connected_ols_SHEK_PIK_SSP2m4p5_2100_surge1p0m.tif","SSP2_2100.tif","55857.78755626592","0.055857787556265914","59695.54282569885","0.059695542825698854","3837.755269432935","2047"
"SHEK_PIK","SSP2m4p5","SSP2","2100","1.5","base","base_flood_connected_SHEK_PIK_SSP2m4p5_2100_surge1p5m.tif","SSP2_2100.tif","1665653.259690995","1.6656532596909952","1494414.1278957129","1.4944141278957128","-171239.13179528224","6725"
"SHEK_PIK","SSP2m4p5","SSP2","2100","1.5","ols","ols_flood_connected_SHEK_PIK_SSP2m4p5_2100_surge1p5m.tif","SSP2_2100.tif","1696634.3405902267","1.6966343405902267","1528934.115163207","1.528934115163207","-167700.22542701964","6738"
"SHEK_PIK","SSP2m4p5","SSP2","2100","1.5","added","added_flood_connected_ols_SHEK_PIK_SSP2m4p5_2100_surge1p5m.tif","SSP2_2100.tif","30981.080534975903","0.0309810805349759","34519.9872674942","0.0345199872674942","3538.9067325182987","1928"
"SHEK_PIK","SSP2m4p5","SSP2","2100","2.0","base","base_flood_connected_SHEK_PIK_SSP2m4p5_2100_surge2p0m.tif","SSP2_2100.tif","1974666.3052487008","1.9746663052487008","1750445.688205123","1.750445688205123","-224220.61704357783","6940"
"SHEK_PIK","SSP2m4p5","SSP2","2100","2.0","ols","ols_flood_connected_SHEK_PIK_SSP2m4p5_2100_surge2p0m.tif","SSP2_2100.tif","1996827.7201719405","1.9968277201719404","1767655.0299657583","1.7676550299657583","-229172.6902061822","6977"
"SHEK_PIK","SSP2m4p5","SSP2","2100","2.0","added","added_flood_connected_ols_SHEK_PIK_SSP2m4p5_2100_surge2p0m.tif","SSP2_2100.tif","22161.41499165256","0.02216141499165256","17209.341760635376","0.017209341760635377","-4952.073231017184","1845"
"SHEK_PIK","SSP2m4p5","SSP2","2100","3.0","base","base_flood_connected_SHEK_PIK_SSP2m4p5_2100_surge3p0m.tif","SSP2_2100.tif","2658437.4505909383","2.6584374505909385","2409828.6307314634","2.4098286307314636","-248608.8198594749","7319"
"SHEK_PIK","SSP2m4p5","SSP2","2100","3.0","ols","ols_flood_connected_SHEK_PIK_SSP2m4p5_2100_surge3p0m.tif","SSP2_2100.tif","2671909.967191872","2.6719099671918722","2417800.563260913","2.4178005632609127","-254109.4039309593","7358"
"SHEK_PIK","SSP2m4p5","SSP2","2100","3.0","added","added_flood_connected_ols_SHEK_PIK_SSP2m4p5_2100_surge3p0m.tif","SSP2_2100.tif","13472.5164634074","0.013472516463407401","7971.932529449463","0.007971932529449463","-5500.583933957938","1638"
"SHEK_PIK","SSP5m8p5","SSP5","2050","0.0","base","base_flood_connected_SHEK_PIK_SSP5m8p5_2050_surge0p0m.tif","SSP5_2050.tif","686241.6584316972","0.6862416584316972","640502.6422533989","0.6405026422533989","-45739.016178298276","4408"
"SHEK_PIK","SSP5m8p5","SSP5","2050","0.0","ols","ols_flood_connected_SHEK_PIK_SSP5m8p5_2050_surge0p0m.tif","SSP5_2050.tif","746701.3332320978","0.7467013332320978","705239.3657603264","0.7052393657603264","-41461.96747177141","4622"
"SHEK_PIK","SSP5m8p5","SSP5","2050","0.0","added","added_flood_connected_ols_SHEK_PIK_SSP5m8p5_2050_surge0p0m.tif","SSP5_2050.tif","60459.67469448172","0.06045967469448172","64736.72350692749","0.0647367235069275","4277.04881244577","1514"
"SHEK_PIK","SSP5m8p5","SSP5","2050","1.0","base","base_flood_connected_SHEK_PIK_SSP5m8p5_2050_surge1p0m.tif","SSP5_2050.tif","1548135.7036944986","1.5481357036944987","1430167.090703249","1.4301670907032489","-117968.61299124965","6110"
"SHEK_PIK","SSP5m8p5","SSP5","2050","1.0","ols","ols_flood_connected_SHEK_PIK_SSP5m8p5_2050_surge1p0m.tif","SSP5_2050.tif","1587347.5450855566","1.5873475450855565","1464052.242768526","1.464052242768526","-123295.3023170305","6152"
"SHEK_PIK","SSP5m8p5","SSP5","2050","1.0","added","added_flood_connected_ols_SHEK_PIK_SSP5m8p5_2050_surge1p0m.tif","SSP5_2050.tif","39211.84151618824","0.039211841516188235","33885.1520652771","0.0338851520652771","-5326.689450911137","1793"
"SHEK_PIK","SSP5m8p5","SSP5","2050","1.5","base","base_flood_connected_SHEK_PIK_SSP5m8p5_2050_surge1p5m.tif","SSP5_2050.tif","1987174.8265201647","1.9871748265201647","1848008.4065153599","1.84800840651536","-139166.42000480485","6505"
"SHEK_PIK","SSP5m8p5","SSP5","2050","1.5","ols","ols_flood_connected_SHEK_PIK_SSP5m8p5_2050_surge1p5m.tif","SSP5_2050.tif","2015761.1334465446","2.015761133446545","1871593.1484663486","1.8715931484663486","-144167.984980196","6518"
"SHEK_PIK","SSP5m8p5","SSP5","2050","1.5","added","added_flood_connected_ols_SHEK_PIK_SSP5m8p5_2050_surge1p5m.tif","SSP5_2050.tif","28586.306985147734","0.028586306985147733","23584.74195098877","0.02358474195098877","-5001.565034158964","1700"
"SHEK_PIK","SSP5m8p5","SSP5","2050","2.0","base","base_flood_connected_SHEK_PIK_SSP5m8p5_2050_surge2p0m.tif","SSP5_2050.tif","2428702.241491082","2.428702241491082","2232319.477006197","2.232319477006197","-196382.76448488515","6764"
"SHEK_PIK","SSP5m8p5","SSP5","2050","2.0","ols","ols_flood_connected_SHEK_PIK_SSP5m8p5_2050_surge2p0m.tif","SSP5_2050.tif","2447557.36493213","2.44755736493213","2251529.8336002827","2.2515298336002827","-196027.53133184742","6767"
"SHEK_PIK","SSP5m8p5","SSP5","2050","2.0","added","added_flood_connected_ols_SHEK_PIK_SSP5m8p5_2050_surge2p0m.tif","SSP5_2050.tif","18855.122308086477","0.018855122308086475","19210.356594085693","0.01921035659408569","355.2342859992168","1575"
"SHEK_PIK","SSP5m8p5","SSP5","2050","3.0","base","base_flood_connected_SHEK_PIK_SSP5m8p5_2050_surge3p0m.tif","SSP5_2050.tif","3325933.207074708","3.3259332070747076","3106370.7048990726","3.1063707048990725","-219562.5021756352","7223"
"SHEK_PIK","SSP5m8p5","SSP5","2050","3.0","ols","ols_flood_connected_SHEK_PIK_SSP5m8p5_2050_surge3p0m.tif","SSP5_2050.tif","3335960.6070352634","3.3359606070352634","3111927.3331644535","3.1119273331644535","-224033.27387080994","7224"
"SHEK_PIK","SSP5m8p5","SSP5","2050","3.0","added","added_flood_connected_ols_SHEK_PIK_SSP5m8p5_2050_surge3p0m.tif","SSP5_2050.tif","10027.401060617067","0.010027401060617067","5556.628265380859","0.00555662826538086","-4470.7727952362075","1259"
"SHEK_PIK","SSP5m8p5","SSP5","2100","0.0","base","base_flood_connected_SHEK_PIK_SSP5m8p5_2100_surge0p0m.tif","SSP5_2100.tif","713877.7280411473","0.7138777280411474","673441.0715978146","0.6734410715978145","-40436.65644333279","5577"
"SHEK_PIK","SSP5m8p5","SSP5","2100","0.0","ols","ols_flood_connected_SHEK_PIK_SSP5m8p5_2100_surge0p0m.tif","SSP5_2100.tif","779986.3900379721","0.7799863900379721","734252.7037332058","0.7342527037332058","-45733.686304766336","5822"
"SHEK_PIK","SSP5m8p5","SSP5","2100","0.0","added","added_flood_connected_ols_SHEK_PIK_SSP5m8p5_2100_surge0p0m.tif","SSP5_2100.tif","66108.6624107658","0.0661086624107658","60811.632135391235","0.06081163213539124","-5297.030275374564","2053"
